conversation_id,language,script,turns_count,window_text,target_text,pattern_label,risk_level,source_dataset,origin,rationale
synth_0001,English,roman,3,"A: Did you understand question 4 in math?  |  B: Not really, it was quite confusing.  |  A: Let us work on our homework together tomorrow during lunch.",Let us work on our homework together tomorrow during lunch.,neutral,Low,Synthetic-Grooming-PAN12,synthetic,homework collaboration
synth_0002,English,roman,3,"A: Are you coming to science club today?  |  B: Yes, Mr. Sharma said we are building circuits.  |  A: Cool, see you in the physics lab at 4 PM.","Cool, see you in the physics lab at 4 PM.",neutral,Low,Synthetic-Grooming-PAN12,synthetic,school club
synth_0003,English,roman,3,A: Don't forget tomorrow is sports day!  |  B: I got my white sneakers ready.  |  A: Good luck in the 100m relay sprint!,Good luck in the 100m relay sprint!,neutral,Low,Synthetic-Grooming-PAN12,synthetic,sports day
synth_0004,English,roman,3,A: Who has the English literature notes?  |  B: I took notes on chapter 3.  |  A: Can you please share them in the official class group?,Can you please share them in the official class group?,neutral,Low,Synthetic-Grooming-PAN12,synthetic,study notes
synth_0005,English,roman,3,"A: Great job on the history presentation today.  |  B: Thanks! I was so nervous standing in front of everyone.  |  A: You did awesome, teacher gave our team full marks.","You did awesome, teacher gave our team full marks.",neutral,Low,Synthetic-Grooming-PAN12,synthetic,presentation praise
synth_0006,English,roman,3,"A: Are we having the chemistry test on Friday?  |  B: Yes, teacher confirmed it covers acids and bases.  |  A: Okay, let us prepare notes tonight.","Okay, let us prepare notes tonight.",neutral,Low,Synthetic-Grooming-PAN12,synthetic,exam reminder
synth_0007,English,roman,3,"A: Did you submit the art assignment?  |  B: I just finished watercolor painting.  |  A: Nice, let's submit it before the bell rings.","Nice, let's submit it before the bell rings.",neutral,Low,Synthetic-Grooming-PAN12,synthetic,art project
synth_0008,English,roman,3,"A: Is the library open after school today?  |  B: Yes, until 5 PM.  |  A: Great, let's borrow the reference books together.","Great, let's borrow the reference books together.",neutral,Low,Synthetic-Grooming-PAN12,synthetic,library study
synth_0009,English,roman,3,"A: Can you bring your extra calculator tomorrow?  |  B: Sure, I have two.  |  A: Thanks a lot, see you in the morning.","Thanks a lot, see you in the morning.",neutral,Low,Synthetic-Grooming-PAN12,synthetic,school supplies
synth_0010,English,roman,3,"A: Are we practicing for annual day dance?  |  B: Yes, third period in the auditorium.  |  A: Don't forget the costume guidelines teacher sent.",Don't forget the costume guidelines teacher sent.,neutral,Low,Synthetic-Grooming-PAN12,synthetic,annual day dance
synth_0011,English,roman,3,"A: Did you get selected for the debate team?  |  B: Yes, the topic is renewable energy.  |  A: Awesome! Let's research arguments together.",Awesome! Let's research arguments together.,neutral,Low,Synthetic-Grooming-PAN12,synthetic,debate prep
synth_0012,English,roman,3,"A: Where are we meeting for the group project?  |  B: At the school cafeteria after classes.  |  A: Perfect, please tell your parents where we are meeting.","Perfect, please tell your parents where we are meeting.",neutral,Low,Synthetic-Grooming-PAN12,synthetic,parent notice for meeting
synth_0013,English,roman,3,"A: How did your piano recital go?  |  B: It was fun, my mom took a video.  |  A: Congratulations, you practiced really hard!","Congratulations, you practiced really hard!",neutral,Low,Synthetic-Grooming-PAN12,synthetic,recital
synth_0014,English,roman,3,"A: Are you joining the summer coding workshop?  |  B: Yes, my dad registered me yesterday.  |  A: Awesome, we can learn Python together.","Awesome, we can learn Python together.",neutral,Low,Synthetic-Grooming-PAN12,synthetic,coding workshop
synth_0015,English,roman,3,"A: Good morning! Did bus route 12 change?  |  B: No, it arrives at the usual 7:30 AM stop.  |  A: Thanks, see you at the bus stop.","Thanks, see you at the bus stop.",neutral,Low,Synthetic-Grooming-PAN12,synthetic,school bus
synth_0016,English,roman,3,"A: Dude you completely destroyed me in that match!  |  B: Haha your sniper shot missed by an inch.  |  A: That game was killer, let's play another round tonight.","That game was killer, let's play another round tonight.",neutral,Low,Synthetic-Grooming-PAN12,synthetic,gaming slang benign
synth_0017,English,roman,3,A: I got a new game for my birthday. Want to play online with our friends?  |  B: Which game is it?  |  A: Minecraft! I set up a private multiplayer world for our class.,Minecraft! I set up a private multiplayer world for our class.,neutral,Low,Synthetic-Grooming-PAN12,synthetic,multiplayer birthday game
synth_0018,English,roman,3,"A: Bro you're dead! Watch out behind you!  |  B: Revive me, revive me!  |  A: I got you, good win team!","I got you, good win team!",neutral,Low,Synthetic-Grooming-PAN12,synthetic,in-game combat callouts
synth_0019,English,roman,3,"A: Your rank in Valorant is insane!  |  B: Thanks, played five competitive games yesterday.  |  A: Carry me to Gold rank this weekend please!",Carry me to Gold rank this weekend please!,neutral,Low,Synthetic-Grooming-PAN12,synthetic,game ranking
synth_0020,English,roman,3,"A: Noob move dropping the flag there!  |  B: My ping was 300ms, total lag.  |  A: All good, next round we crush them.","All good, next round we crush them.",neutral,Low,Synthetic-Grooming-PAN12,synthetic,friendly gamer teasing
synth_0021,English,roman,3,"A: That boss battle took two hours to beat!  |  B: Did you get the legendary drop?  |  A: Yes, finally got the dragon shield.","Yes, finally got the dragon shield.",neutral,Low,Synthetic-Grooming-PAN12,synthetic,boss fight
synth_0022,English,roman,3,A: Are you streaming the tournament tonight?  |  B: Just watching on Twitch with my brother.  |  A: Let's watch together on voice chat.,Let's watch together on voice chat.,neutral,Low,Synthetic-Grooming-PAN12,synthetic,watching esports
synth_0023,English,roman,3,"A: GG guys, well played!  |  B: Nice defense on point B.  |  A: See you tomorrow for the weekend cup.",See you tomorrow for the weekend cup.,neutral,Low,Synthetic-Grooming-PAN12,synthetic,good game
synth_0024,English,roman,3,A: He totally wrecked our squad with that grenade.  |  B: Next time stay spread out.  |  A: Yeah lesson learned.,Yeah lesson learned.,neutral,Low,Synthetic-Grooming-PAN12,synthetic,squad loss review
synth_0025,English,roman,3,A: Who wants to trade duplicate Pokemon cards tomorrow?  |  B: I have Charizard!  |  A: Bring your binder to lunch recess.,Bring your binder to lunch recess.,neutral,Low,Synthetic-Grooming-PAN12,synthetic,trading cards
synth_0026,English,roman,3,A: Some random account messaged me on Roblox asking where I live.  |  B: That's super weird!  |  A: I blocked them and showed my mom immediately.,I blocked them and showed my mom immediately.,neutral,Low,Synthetic-Grooming-PAN12,synthetic,safety action
synth_0027,English,roman,3,A: Teacher said never share personal phone numbers or passwords online.  |  B: Yeah our cyber safety class was really helpful.  |  A: Always tell a trusted adult if someone makes you uncomfortable.,Always tell a trusted adult if someone makes you uncomfortable.,neutral,Low,Synthetic-Grooming-PAN12,synthetic,safety advice
synth_0028,English,roman,3,"A: Coach told us to never share private details with strangers online.  |  B: Did someone ask you?  |  A: No, just standard rules for the team group chat.","No, just standard rules for the team group chat.",neutral,Low,Synthetic-Grooming-PAN12,synthetic,coach advice
synth_0029,English,roman,3,"A: Remember: never send private photos or keep secrets from your family.  |  B: Yes, my parents have the family safety guidelines.  |  A: Good, stay safe online.","Good, stay safe online.",neutral,Low,Synthetic-Grooming-PAN12,synthetic,guidelines
synth_0030,English,roman,3,"A: My friend told me a stranger messaged: Send your photo or I will report you.  |  B: Did your friend report it?  |  A: Yes, they reported the account and told school counselor.","Yes, they reported the account and told school counselor.",neutral,Low,Synthetic-Grooming-PAN12,synthetic,reported speech
synth_0031,English,roman,3,"A: I am not threatening you and I do not want your private details.  |  B: I know, just checking what the homework assignment was.  |  A: Page 45 exercises 1 to 10.",Page 45 exercises 1 to 10.,neutral,Low,Synthetic-Grooming-PAN12,synthetic,negation of threat
synth_0032,English,roman,3,A: Someone posted: I will destroy your reputation.  |  B: Where was that?  |  A: It was an example of cyberbullying in our civics textbook.,It was an example of cyberbullying in our civics textbook.,neutral,Low,Synthetic-Grooming-PAN12,synthetic,textbook example
synth_0033,English,roman,3,"A: The surprise party for Rahul is a secret until Saturday.  |  B: Don't worry, nobody will tell him.  |  A: His parents are bringing the cake at 5 PM.",His parents are bringing the cake at 5 PM.,neutral,Low,Synthetic-Grooming-PAN12,synthetic,benign birthday secret
synth_0034,English,roman,3,"A: I forgot my lunch money today.  |  B: I have an extra sandwich, let's share!  |  A: Thank you so much, you are a lifesaver.","Thank you so much, you are a lifesaver.",neutral,Low,Synthetic-Grooming-PAN12,synthetic,sharing lunch
synth_0035,English,roman,3,"A: Can you ask your mom if you can come over to bake cookies?  |  B: She said yes as long as your mom is home.  |  A: Awesome, my mom bought chocolate chips.","Awesome, my mom bought chocolate chips.",neutral,Low,Synthetic-Grooming-PAN12,synthetic,parent confirmed playdate
synth_0036,English,roman,3,"A: If anyone online ever asks you to keep secrets, tell a teacher right away.  |  B: Our school counselor gave us helpline stickers today.  |  A: Yeah, 1098 is for child safety.","Yeah, 1098 is for child safety.",neutral,Low,Synthetic-Grooming-PAN12,synthetic,helpline awareness
synth_0037,English,roman,3,"A: Don't click that link in the group chat, it looks like spam.  |  B: Good catch, I almost clicked it.  |  A: Let's ask the admin to delete the message.",Let's ask the admin to delete the message.,neutral,Low,Synthetic-Grooming-PAN12,synthetic,spam warning
synth_0038,English,roman,3,"A: My dad helped me set my Instagram account to private.  |  B: Smart move, only friends should see posts.  |  A: Yeah, no random strangers allowed.","Yeah, no random strangers allowed.",neutral,Low,Synthetic-Grooming-PAN12,synthetic,privacy settings
synth_0039,English,roman,3,A: We are organizing a charity book drive this weekend.  |  B: I have lots of old storybooks to donate.  |  A: Bring them to the school auditorium on Friday.,Bring them to the school auditorium on Friday.,neutral,Low,Synthetic-Grooming-PAN12,synthetic,charity drive
synth_0040,English,roman,3,"A: I am not angry with you at all.  |  B: I thought you were upset about the score.  |  A: Not at all, it was just a tough referee call.","Not at all, it was just a tough referee call.",neutral,Low,Synthetic-Grooming-PAN12,synthetic,negation of anger
synth_0041,Hindi,mixed,3,"A: आज स्कूल कैसा था?  |  B: बहुत अच्छा, विज्ञान में नया प्रयोग किया।  |  A: चलो शाम को मिलकर होमवर्क करते हैं।",चलो शाम को मिलकर होमवर्क करते हैं।,neutral,Low,Synthetic-Grooming-PAN12,synthetic,homework
synth_0042,Hindi,mixed,3,"A: कल गणित की परीक्षा की तैयारी हो गई?  |  B: त्रिकोणमिति थोड़ी मुश्किल लग रही है।  |  A: मैं तुम्हें आसान तरीके से समझा दूंगा, लाइब्रेरी में मिलते हैं।","मैं तुम्हें आसान तरीके से समझा दूंगा, लाइब्रेरी में मिलते हैं।",neutral,Low,Synthetic-Grooming-PAN12,synthetic,math prep
synth_0043,Hindi,mixed,3,"A: मम्मी पापा को बताकर दोस्तों के साथ पार्क में खेलने आना।  |  B: हाँ, मैंने माँ से पूछ लिया है।  |  A: ठीक है, शाम 5 बजे क्रिकेट खेलेंगे।","ठीक है, शाम 5 बजे क्रिकेट खेलेंगे।",neutral,Low,Synthetic-Grooming-PAN12,synthetic,parent permission
synth_0044,Hindi,mixed,3,A: हिंदी के प्रोजेक्ट की फाइल तैयार हो गई?  |  B: चित्र लगाना बाकी है बस।  |  A: कल सुबह स्कूल में असेंबली से पहले जमा करना है।,कल सुबह स्कूल में असेंबली से पहले जमा करना है।,neutral,Low,Synthetic-Grooming-PAN12,synthetic,project deadline
synth_0045,Hindi,mixed,3,"A: आज इतिहास वाले सर ने क्या पढ़ाया?  |  B: मुगल काल के बारे में चर्चा हुई थी।  |  A: मुझे अपनी कॉपी दे देना, मैं नोट्स बना लूंगा।","मुझे अपनी कॉपी दे देना, मैं नोट्स बना लूंगा।",neutral,Low,Synthetic-Grooming-PAN12,synthetic,class notes
synth_0046,Hindi,mixed,3,"A: क्या कल स्कूल की छुट्टी है?  |  B: हाँ, त्योहार की वजह से अवकाश है।  |  A: अच्छा हुआ, पेंडिंग असाइनमेंट पूरा हो जाएगा।","अच्छा हुआ, पेंडिंग असाइनमेंट पूरा हो जाएगा।",neutral,Low,Synthetic-Grooming-PAN12,synthetic,holiday notice
synth_0047,Hindi,mixed,3,"A: ड्राइंग कॉम्पिटिशन में भाग ले रहे हो?  |  B: हाँ, पर्यावरण दिवस पर पेंटिंग बनाऊंगा।  |  A: बहुत बढ़िया विचार है, शुभकामनाएं!","बहुत बढ़िया विचार है, शुभकामनाएं!",neutral,Low,Synthetic-Grooming-PAN12,synthetic,competition
synth_0048,Hindi,mixed,3,"A: आज लंच में क्या लाए हो?  |  B: माँ ने पनीर के पराठे बनाए हैं।  |  A: अरे वाह, दोनों मिलकर शेयर करेंगे।","अरे वाह, दोनों मिलकर शेयर करेंगे।",neutral,Low,Synthetic-Grooming-PAN12,synthetic,lunch sharing
synth_0049,Hindi,mixed,3,"A: बस स्टॉप पर कितनी देर में पहुंचोगे?  |  B: पाँच मिनट में निकल रहा हूँ।  |  A: जल्दी आओ, स्कूल बस आने वाली है।","जल्दी आओ, स्कूल बस आने वाली है।",neutral,Low,Synthetic-Grooming-PAN12,synthetic,bus stop
synth_0050,Hindi,mixed,3,A: वार्षिक उत्सव में कौन सा गाना गा रहे हो?  |  B: देशभक्ति गीत की तैयारी चल रही है।  |  A: प्रैक्टिस के लिए संगीत कक्ष में चलना।,प्रैक्टिस के लिए संगीत कक्ष में चलना।,neutral,Low,Synthetic-Grooming-PAN12,synthetic,music practice
synth_0051,Hindi,mixed,3,"A: क्या तुम्हें कल का होमवर्क समझ आया?  |  B: सर ने जो ब्लैकबोर्ड पर लिखा था वो नोट किया है।  |  A: शुक्रिया, मैं अभी लिख लेता हूँ।","शुक्रिया, मैं अभी लिख लेता हूँ।",neutral,Low,Synthetic-Grooming-PAN12,synthetic,blackboard notes
synth_0052,Hindi,mixed,3,"A: शाम को बैडमिंटन खेलने चलोगे?  |  B: माँ से पूछकर बताता हूँ।  |  A: हाँ, बिना बताए कहीं मत जाना।","हाँ, बिना बताए कहीं मत जाना।",neutral,Low,Synthetic-Grooming-PAN12,synthetic,ask parents first
synth_0053,Hindi,mixed,3,"A: कंप्यूटर लैब में नया सॉफ्टवेयर इंस्टॉल हुआ है।  |  B: स्क्रैच प्रोग्रामिंग सीखेंगे अब।  |  A: हाँ, गेम बनाना बहुत मजेदार होगा।","हाँ, गेम बनाना बहुत मजेदार होगा।",neutral,Low,Synthetic-Grooming-PAN12,synthetic,computer lab
synth_0054,Hindi,mixed,3,"A: मेरे पास साइंस की अतिरिक्त किताब है।  |  B: क्या मैं दो दिन के लिए पढ़ सकता हूँ?  |  A: बिल्कुल, कल स्कूल ले आऊंगा।","बिल्कुल, कल स्कूल ले आऊंगा।",neutral,Low,Synthetic-Grooming-PAN12,synthetic,book sharing
synth_0055,Hindi,mixed,3,"A: आज पीटीआई सर ने नई एक्सरसाइज सिखाई।  |  B: हाँ, योग दिवस की तैयारी करवा रहे थे।  |  A: सुबह जल्दी उठने की आदत अच्छी है।",सुबह जल्दी उठने की आदत अच्छी है।,neutral,Low,Synthetic-Grooming-PAN12,synthetic,physical training
synth_0056,Hindi,mixed,3,"A: टीचर ने कहा है इंटरनेट पर किसी अनजान से अपनी जानकारी साझा मत करना।  |  B: हाँ, कल की कार्यशाला में यही सिखाया था।  |  A: अगर कोई परेशान करे तो तुरंत माता-पिता को बताना चाहिए।",अगर कोई परेशान करे तो तुरंत माता-पिता को बताना चाहिए।,neutral,Low,Synthetic-Grooming-PAN12,synthetic,safety advice
synth_0057,Hindi,mixed,3,"A: किसी अनजान व्यक्ति को अपनी तस्वीर या पता कभी मत भेजना।  |  B: हाँ, मेरी दीदी ने भी यही समझाया है।  |  A: सुरक्षित रहना सबसे ज्यादा जरूरी है।",सुरक्षित रहना सबसे ज्यादा जरूरी है।,neutral,Low,Synthetic-Grooming-PAN12,synthetic,stranger warning
synth_0058,Hindi,mixed,3,"A: मैं तुम्हें कोई धमकी नहीं दे रहा हूँ।  |  B: मुझे लगा तुम नाराज हो।  |  A: नहीं भाई, सिर्फ खेल का स्कोर बता रहा था।","नहीं भाई, सिर्फ खेल का स्कोर बता रहा था।",neutral,Low,Synthetic-Grooming-PAN12,synthetic,negation threat
synth_0059,Hindi,mixed,3,A: मेरे दोस्त ने मुझे जन्मदिन पर सुंदर पेन गिफ्ट किया।  |  B: बहुत प्यारा पेन है।  |  A: हम सबने क्लास में टॉफियां बांटी।,हम सबने क्लास में टॉफियां बांटी।,neutral,Low,Synthetic-Grooming-PAN12,synthetic,benign birthday gift
synth_0060,Hindi,mixed,3,"A: सरप्राइज पार्टी के बारे में राहुल को मत बताना।  |  B: चिंता मत करो, शाम को सबको सरप्राइज देंगे।  |  A: उसके माता-पिता को हमने पहले ही बता दिया है।",उसके माता-पिता को हमने पहले ही बता दिया है।,neutral,Low,Synthetic-Grooming-PAN12,synthetic,surprise party
synth_0061,Hindi,mixed,3,A: एक अनजान नंबर से मैसेज आया था।  |  B: तुमने क्या किया?  |  A: मैंने तुरंत पापा को दिखाया और नंबर ब्लॉक कर दिया।,मैंने तुरंत पापा को दिखाया और नंबर ब्लॉक कर दिया।,neutral,Low,Synthetic-Grooming-PAN12,synthetic,blocked stranger
synth_0062,Hindi,mixed,3,"A: साइबर हेल्पलाइन का नंबर 1930 और बच्चों के लिए 1098 है।  |  B: स्कूल की डायरी में भी लिखा हुआ है।  |  A: हाँ, यह जानकारी सबको पता होनी चाहिए।","हाँ, यह जानकारी सबको पता होनी चाहिए।",neutral,Low,Synthetic-Grooming-PAN12,synthetic,helpline knowledge
